# database filename n010s00p001g20k/n010s02p001g20k20000aDB20000.txt
# Q  DB_sz DB_grps  NNA  VF2  
10 10 20000 797 125199
20 10 20000 1407 134944
30 10 20000 1657 168919
40 10 20000 2205 190732
50 10 20000 2451 222311
60 10 20000 2924 243996
70 10 20000 3443 273327
80 10 20000 3693 372812
90 10 20000 4645 319968
100 10 20000 4923 370980
110 10 20000 5700 514358
120 10 20000 6132 444635
130 10 20000 6595 407487
140 10 20000 7945 493577
150 10 20000 8645 483925
160 10 20000 9445 509975
170 10 20000 10098 542507
180 10 20000 10491 574183
190 10 20000 12242 587120
200 10 20000 13952 634149
210 10 20000 13885 622883
220 10 20000 14000 719251
230 10 20000 16657 897840
240 10 20000 17912 735564
250 10 20000 19689 746252
260 10 20000 20872 764030
270 10 20000 22828 828279
280 10 20000 24394 869102
290 10 20000 27671 863897
300 10 20000 27847 987265
310 10 20000 27684 958166
320 10 20000 29746 975847
330 10 20000 31038 1000523
340 10 20000 33074 1015333
350 10 20000 33269 1083151
360 10 20000 35706 1124462
370 10 20000 75084 1178480
380 10 20000 75163 1230484
390 10 20000 80867 1179419
400 10 20000 109074 1187273
410 10 20000 124658 1286700
420 10 20000 133597 1346423
430 10 20000 144664 1379120
440 10 20000 170449 1405661
450 10 20000 161746 1406449
460 10 20000 196838 1430569
470 10 20000 196359 1434157
480 10 20000 210926 1523340
490 10 20000 221005 1619775
500 10 20000 255439 1568388
510 10 20000 254889 1661479
520 10 20000 416594 1676515
530 10 20000 483810 1683607
540 10 20000 520957 1782771
550 10 20000 595779 1719481
560 10 20000 748739 1798636
570 10 20000 804450 1791754
580 10 20000 813560 1825670
590 10 20000 952636 1947323
600 10 20000 1052962 1970777
610 10 20000 1159681 2017338
620 10 20000 1275351 2075919
630 10 20000 1761140 2072276
640 10 20000 2231790 2141663
650 10 20000 2898325 2122229
660 10 20000 3894869 2176022
670 10 20000 4024060 2274430
680 10 20000 5728741 2250626
690 10 20000 5970325 2317844
700 10 20000 6952677 2271914
710 10 20000 7441084 2382403
720 10 20000 8495131 2421512
730 10 20000 14810642 2446469
740 10 20000 21118149 2515667
750 10 20000 25136214 2621693
760 10 20000 28423673 2526080
770 10 20000 34451435 2606807
780 10 20000 37816671 2667354
790 10 20000 53024522 2698332
800 10 20000 61312625 2845719

